cowcode	year	FDI_UNCTAD_2	capex2000	capex09_152000	oecd	ICRG	sum_pending_full	sum_pending_full_indirect	sum_pending_full_direct	sum_pending_full_proInv	sum_pending_full_FET	polity2	GDP_growth	cusum	ka_open	USBIT	notdirect	notindirect	notFET	USPending	USI	USD	USFE	USnonFET	USnonD	USnonI	sum_ICSID_pending_direct	sum_ICSID_pending_indirect	sum_ICSID_pending_FET	sum_ICSID_pending_Full	ICSIDnotdirect	ICSIDnotindirect	ICSIDnotFET
552.0	2005.0	102.8	3.52		0.0	1.54	1.0	0.0	1.0	1.0	1.0	-4	-5.711084	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0
552.0	2006.0	40.0	2.55		0.0	1.5	1.0	0.0	1.0	1.0	1.0	-4	-3.4614952	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
552.0	2007.0	68.9	2.49		0.0	1.5	1.0	0.0	1.0	1.0	1.0	-4	-3.653327	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
552.0	2008.0	51.6	2.4		0.0	1.5	1.0	0.0	1.0	1.0	1.0	-4	-17.668947	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
552.0	2009.0	105.0		1.25	0.0	1.5	1.0	0.0	1.0	1.0	1.0	1	12.019561	4.0	0.16569704	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
552.0	2010.0	165.9		8.89	0.0	1.5	2.0	1.0	2.0	1.0	2.0	1	12.581027	4.0	0.41451332	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	2.0	0.0	1.0	0.0
552.0	2011.0	387.0		6.55	0.0	1.5	2.0	1.0	2.0	1.0	2.0	1	15.445733	4.0	0.41451332	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0
552.0	2012.0	399.5		3.99	0.0	1.5	2.0	1.0	2.0	1.0	2.0	1	14.779595	4.0	0.41451332	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0
552.0	2013.0	400.0			0.0	1.5	2.0	1.0	2.0	1.0	2.0	4	5.529787	4.0	0.16569704	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0
552.0	2014.0	544.8		5.48	0.0	1.5	2.0	1.0	2.0	1.0	2.0	4	2.1270843	4.0	0.16569704	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0
