cowcode,year,irtpers8,seirtpers8
315,1978,-1.321256,.6139747
315,1979,-1.321256,.6139747
315,1980,-1.321256,.6139747
315,1981,-1.321256,.6139747
315,1982,-1.321256,.6139747
315,1983,-1.321256,.6139747
315,1984,-1.321256,.6139747
315,1985,-1.321256,.6139747
315,1986,-1.321256,.6139747
315,1987,-1.321256,.6139747
315,1988,-1.321256,.6139747
315,1989,-1.321256,.6139747
339,1946,-.8920777,.5165605
339,1947,-.8920777,.5165605
339,1948,-.8920777,.5165605
339,1949,1.140561,.486542
339,1950,1.140561,.486542
339,1951,1.140561,.486542
339,1952,1.140561,.486542
339,1953,1.140561,.486542
339,1954,1.140561,.486542
339,1955,.7132131,.4418676
339,1956,.7132131,.4418676
339,1957,1.140561,.486542
339,1958,1.140561,.486542
339,1959,1.140561,.486542
339,1960,.7132131,.4418676
339,1961,1.140561,.486542
339,1962,1.140561,.486542
339,1963,1.140561,.486542
339,1964,1.140561,.486542
339,1965,1.140561,.486542
339,1966,1.140561,.486542
339,1967,1.140561,.486542
339,1968,1.140561,.486542
339,1969,1.140561,.486542
339,1970,1.140561,.486542
339,1971,1.140561,.486542
339,1972,.7132131,.4418676
339,1973,.7132131,.4418676
339,1974,.7132131,.4418676
339,1975,.7132131,.4418676
339,1976,.7132131,.4418676
339,1977,.7132131,.4418676
339,1978,1.140561,.486542
339,1979,1.140561,.486542
339,1980,1.140561,.486542
339,1981,1.140561,.486542
339,1982,1.140561,.486542
339,1983,1.140561,.486542
339,1984,1.140561,.486542
339,1985,1.140561,.486542
339,1986,-.8920777,.5165605
339,1987,-.8920777,.5165605
339,1988,-.8920777,.5165605
339,1989,-.8920777,.5165605
339,1990,-.8920777,.5165605
339,1991,-.8920777,.5165605
345,1946,.5383371,.4304059
345,1947,.5383371,.4304059
345,1948,.5383371,.4304059
345,1949,.1852371,.4188461
345,1950,.1852371,.4188461
345,1951,.1852371,.4188461
345,1952,.1852371,.4188461
345,1953,.1852371,.4188461
345,1954,-.7024914,.4810157
345,1955,-.7024914,.4810157
345,1956,-.7024914,.4810157
345,1957,-.7024914,.4810157
345,1958,-.7024914,.4810157
345,1959,-.7024914,.4810157
345,1960,-.7024914,.4810157
